gene_set_id	collection	context_term	context_type	context_label	series	series_role
CGSA:PMC10156590_2_PANC_GOLGI	CGSA:BENCHMARK	MONDO:0009831	disease	malignant pancreatic neoplasm		
CGSA:PMC10202813_2_SENESCENCE	CGSA:BENCHMARK	MONDO:0005105	disease	melanoma	SERIES:CGSA_PMC10202813_MODULES	senescence_and_immune
CGSA:PMC10202813_3_INTERFERON	CGSA:BENCHMARK	MONDO:0005105	disease	melanoma	SERIES:CGSA_PMC10202813_MODULES	interferon_response
CGSA:PMC10202813_6_PIGMENT	CGSA:BENCHMARK	MONDO:0005105	disease	melanoma	SERIES:CGSA_PMC10202813_MODULES	pigmentation_and_proliferation
CGSA:PMC10761883_2_DIABETIC_CM_HIF	CGSA:BENCHMARK	MONDO:0004994	disease	cardiomyopathy		
CGSA:PMC10772820_1_NASH_COMPLEMENT	CGSA:BENCHMARK	MONDO:0007027	disease	metabolic dysfunction-associated steatohepatitis	SERIES:CGSA_PMC10772820_MODULES	complement_coagulation
CGSA:PMC10772820_2_NASH_ECM	CGSA:BENCHMARK	MONDO:0007027	disease	metabolic dysfunction-associated steatohepatitis	SERIES:CGSA_PMC10772820_MODULES	ecm_fibrosis
CGSA:PMC10772820_3_NASH_RIBOSOME	CGSA:BENCHMARK	MONDO:0007027	disease	metabolic dysfunction-associated steatohepatitis	SERIES:CGSA_PMC10772820_MODULES	ribosome_translation
CGSA:PMC10772820_5_NASH_CHEMOKINE	CGSA:BENCHMARK	MONDO:0007027	disease	metabolic dysfunction-associated steatohepatitis	SERIES:CGSA_PMC10772820_MODULES	chemokine_inflammation
CGSA:PMC8831505_1_TFH_HYPOXIA	CGSA:BENCHMARK	CL:0002038	cell_type	T follicular helper cell		
CGSA:PMC9232499_1_GBM_MIGRATION	CGSA:BENCHMARK	MONDO:0018177	disease	glioblastoma	SERIES:CGSA_PMC9232499_MODULES	migration_ecm
CGSA:PMC9232499_2_GBM_STRESS	CGSA:BENCHMARK	MONDO:0018177	disease	glioblastoma	SERIES:CGSA_PMC9232499_MODULES	stress_defense
CGSA:PMID30017245_MELANOMA_MITOSIS	CGSA:BENCHMARK	MONDO:0005105	disease	melanoma		
