result_id	ground_truth_pathway	category
PMID30017245	Mitosis	1
PMID30017245	Disorder Of Pigmentation	2
PMID30017245	Differentiation Of Melanocytes	2
PMID30017245	Abnormal Morphology Of Melanocytes	2
PMID30017245	Antiviral Response	3
PMID30017245	Interferon Signaling	3
PMID30017245	Antigen Presentation Pathway	3
PMID30017245	Morphology Of Nervous System	4
PMID30017245	Development Of Neurous	4
PMID30017245	Morphology Of Head	4
PMID30017245	Migration Of Cells	5
PMID30017245	Angiogenesis	6
PMID30017245	Metastasis	5
PMID30017245	Invasionof Tumor Cells	5
PMID30017245	Metabolic Pathways	7
PMC9810534-4	Cytokine Activity	1
PMC9810534-4	Chemokine Activity	1
PMC9810534-4	Scavenger Receptor Activity	2
PMC9810534-4	Response To Bacterium	3
PMC9810534-4	Chemotaxis	3
PMC9810534-4	Regulation Of Cell Activation	3
PMC9810534-4	Protein Secretion	3
PMC9810534-4	Regulation Of Inflammatory Response	3
PMC9810534-4	Wound Healing	3
PMC9810534-4	Regulation Of Leukocyte Activation	3
PMC9810534-4	Activation Of Immune Response	3
PMC9810534-4	Myeloid Cell Differentiation	2
PMC9810534-4	Leukocyte Mediated Immunity	2
PMC9810534-4	Regulation Of Macrophage Activation	2
PMC9810534-4	Phagocytosis	2
PMC9810534-4	Dendritic Cell Differentiation	2
PMC9810534-4	Cell Killing	3
PMC9810534-4	Response To Interferon-Alpha	1
PMC9810534-4	Response To Interferon-Beta	1
PMC9810534-4	Dendritic Cell Maturation	2
PMC9810534-4	"""Macrophages Classical M1 Vs Alternative M2"""	2
PMC9810534-4	Leukocyte Migration	3
PMC9810534-4	Phospholipase Activity	4
PMC9810534-4	"""Transmembrane Receptor Protein Tyrosine Kinase Activity"""	4
PMC9810534-4	Erk1 And Erk2 Cascade	4
PMC9810534-4	Positive Regulation Of Mapk Cascade	4
PMC9810534-4	Positive Regulation Of Protein Kinase Activity	4
PMC9810534-4	Rho Protein Signal Transduction	4
PMC9810534-4	Second-Messenger-Mediated Signaling	4
PMC9810534-4	Protein Kinase B Signaling	4
